Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST/Auth,1824,1190,1158,1240,1549,1807,1066,2482,0.000%,15.84048,11.94,4.32
POST/Booking,1790,292,288,305,315,456,264,1053,0.000%,15.76787,14.62,7.33
GeT/Booking,1774,298,289,311,329,619,260,943,0.000%,15.65437,14.06,3.12
Delete/Booking,1750,297,289,309,327,590,261,1299,0.000%,15.84026,11.57,3.50
GET/Delete,1738,290,288,304,311,334,262,894,0.000%,15.72836,11.56,3.13
TOTAL,8876,478,293,1159,1191,1579,260,2482,0.000%,76.91974,62.25,20.94
